ID,Seqn,Name,Boundary Via,Latitude,Longitude,Upper Limit,Lower Limit,Latitude of Origin,Longitude of Origin
D104A,1,D104A JANDAKOT,G ,32 10 24S,115 47 32E,FL025,SFC, , 
D104A,2,D104A JANDAKOT,G ,32 10 59S,115 55 29E,FL025,SFC, , 
D104A,3,D104A JANDAKOT,G ,32 09 48S,115 56 41E,FL025,SFC, , 
D104A,4,D104A JANDAKOT,G ,32 09 14S,115 47 40E,FL025,SFC, , 
D104A,5,D104A JANDAKOT,G ,32 09 31S,115 47 30E,FL025,SFC, , 
D104A,6,D104A JANDAKOT,G ,32 10 04S,115 47 28E,FL025,SFC, , 
D104A,7,D104A JANDAKOT,GE,32 10 20S,115 47 31E,FL025,SFC, , 
D104B,1,D104B JANDAKOT,G ,32 13 37S,115 47 10E,FL035,SFC, , 
D104B,2,D104B JANDAKOT,G ,32 13 49S,115 56 52E,FL035,SFC, , 
D104B,3,D104B JANDAKOT,G ,32 13 42S,116 01 11E,FL035,SFC, , 
D104B,4,D104B JANDAKOT,G ,32 11 23S,116 00 10E,FL035,SFC, , 
D104B,5,D104B JANDAKOT,G ,32 09 48S,115 56 41E,FL035,SFC, , 
D104B,6,D104B JANDAKOT,G ,32 10 59S,115 55 29E,FL035,SFC, , 
D104B,7,D104B JANDAKOT,G ,32 10 24S,115 47 32E,FL035,SFC, , 
D104B,8,D104B JANDAKOT,G ,32 10 36S,115 47 33E,FL035,SFC, , 
D104B,9,D104B JANDAKOT,G ,32 10 43S,115 47 33E,FL035,SFC, , 
D104B,10,D104B JANDAKOT,G ,32 10 56S,115 47 34E,FL035,SFC, , 
D104B,11,D104B JANDAKOT,G ,32 11 05S,115 47 32E,FL035,SFC, , 
D104B,12,D104B JANDAKOT,G ,32 11 13S,115 47 27E,FL035,SFC, , 
D104B,13,D104B JANDAKOT,G ,32 11 17S,115 47 17E,FL035,SFC, , 
D104B,14,D104B JANDAKOT,G ,32 11 25S,115 47 07E,FL035,SFC, , 
D104B,15,D104B JANDAKOT,G ,32 11 35S,115 46 57E,FL035,SFC, , 
D104B,16,D104B JANDAKOT,G ,32 11 42S,115 46 53E,FL035,SFC, , 
