ID,Seqn,Name,Boundary Via,Upper Limit,Lower Limit,latitude,longitude,latitudeOfOrigin,longitudeOfOrigin
D104A,1,D104A JANDAKOT,G ,FL025,SFC,-32.17333333333333,115.79222222222222,,
D104A,2,D104A JANDAKOT,G ,FL025,SFC,-32.183055555555555,115.92472222222223,,
D104A,3,D104A JANDAKOT,G ,FL025,SFC,-32.163333333333334,115.94472222222223,,
D104A,4,D104A JANDAKOT,G ,FL025,SFC,-32.153888888888886,115.79444444444444,,
D104A,5,D104A JANDAKOT,G ,FL025,SFC,-32.15861111111111,115.79166666666667,,
D104A,6,D104A JANDAKOT,G ,FL025,SFC,-32.16777777777777,115.7911111111111,,
D104A,7,D104A JANDAKOT,GE,FL025,SFC,-32.17222222222222,115.79194444444444,,
D104B,1,D104B JANDAKOT,G ,FL035,SFC,-32.22694444444445,115.78611111111111,,
D104B,2,D104B JANDAKOT,G ,FL035,SFC,-32.23027777777778,115.94777777777779,,
D104B,3,D104B JANDAKOT,G ,FL035,SFC,-32.22833333333333,116.01972222222223,,
D104B,4,D104B JANDAKOT,G ,FL035,SFC,-32.189722222222215,116.00277777777778,,
D104B,5,D104B JANDAKOT,G ,FL035,SFC,-32.163333333333334,115.94472222222223,,
D104B,6,D104B JANDAKOT,G ,FL035,SFC,-32.183055555555555,115.92472222222223,,
D104B,7,D104B JANDAKOT,G ,FL035,SFC,-32.17333333333333,115.79222222222222,,
D104B,8,D104B JANDAKOT,G ,FL035,SFC,-32.17666666666666,115.7925,,
D104B,9,D104B JANDAKOT,G ,FL035,SFC,-32.17861111111111,115.7925,,
D104B,10,D104B JANDAKOT,G ,FL035,SFC,-32.18222222222222,115.79277777777777,,
D104B,11,D104B JANDAKOT,G ,FL035,SFC,-32.18472222222222,115.79222222222222,,
D104B,12,D104B JANDAKOT,G ,FL035,SFC,-32.18694444444444,115.79083333333332,,
D104B,13,D104B JANDAKOT,G ,FL035,SFC,-32.18805555555555,115.78805555555556,,
D104B,14,D104B JANDAKOT,G ,FL035,SFC,-32.19027777777777,115.78527777777778,,
D104B,15,D104B JANDAKOT,G ,FL035,SFC,-32.19305555555555,115.7825,,
D104B,16,D104B JANDAKOT,G ,FL035,SFC,-32.19499999999999,115.78138888888888,,
D104B,17,D104B JANDAKOT,G ,FL035,SFC,-32.20444444444445,115.78083333333333,,
D104B,18,D104B JANDAKOT,G ,FL035,SFC,-32.20722222222223,115.78194444444445,,
D104B,19,D104B JANDAKOT,G ,FL035,SFC,-32.20861111111111,115.78333333333333,,
D104B,20,D104B JANDAKOT,G ,FL035,SFC,-32.211666666666666,115.78444444444445,,
D104B,21,D104B JANDAKOT,G ,FL035,SFC,-32.217222222222226,115.78416666666666,,
D104B,22,D104B JANDAKOT,G ,FL035,SFC,-32.220555555555556,115.785,,
D104B,23,D104B JANDAKOT,GE,FL035,SFC,-32.223333333333336,115.78555555555555,,
D104C,1,D104C JANDAKOT,G ,FL060,SFC,-32.22694444444445,115.78611111111111,,
D104C,2,D104C JANDAKOT,G ,FL060,SFC,-32.230555555555554,115.78305555555555,,
D104C,3,D104C JANDAKOT,G ,FL060,SFC,-32.23361111111111,115.7761111111111,,
D104C,4,D104C JANDAKOT,G ,FL060,SFC,-32.23833333333334,115.77944444444444,,
D104C,5,D104C JANDAKOT,G ,FL060,SFC,-32.24472222222222,115.78166666666667,,
D104C,6,D104C JANDAKOT,G ,FL060,SFC,-32.25083333333333,115.78083333333333,,
D104C,7,D104C JANDAKOT,G ,FL060,SFC,-32.25555555555555,115.78055555555555,,
D104C,8,D104C JANDAKOT,G ,FL060,SFC,-32.26027777777778,115.77916666666667,,
D104C,9,D104C JANDAKOT,G ,FL060,SFC,-32.265,115.77805555555555,,
D104C,10,D104C JANDAKOT,G ,FL060,SFC,-32.26888888888889,115.77805555555555,,
D104C,11,D104C JANDAKOT,G ,FL060,SFC,-32.27305555555555,115.78111111111112,,
D104C,12,D104C JANDAKOT,G ,FL060,SFC,-32.27722222222222,115.78583333333333,,
D104C,13,D104C JANDAKOT,G ,FL060,SFC,-32.280277777777776,115.78972222222222,,
D104C,14,D104C JANDAKOT,G ,FL060,SFC,-32.28333333333333,115.79305555555555,,
D104C,15,D104C JANDAKOT,G ,FL060,SFC,-32.285555555555554,115.79416666666667,,
D104C,16,D104C JANDAKOT,G ,FL060,SFC,-32.28972222222222,115.79472222222222,,
D104C,17,D104C JANDAKOT,G ,FL060,SFC,-32.29805555555556,115.79694444444445,,
D104C,18,D104C JANDAKOT,G ,FL060,SFC,-32.30277777777778,115.79555555555555,,
D104C,19,D104C JANDAKOT,G ,FL060,SFC,-32.30916666666666,115.79527777777777,,
D104C,20,D104C JANDAKOT,G ,FL060,SFC,-32.31444444444444,115.79277777777777,,
D104C,21,D104C JANDAKOT,G ,FL060,SFC,-32.31638888888889,115.79138888888889,,
D104C,22,D104C JANDAKOT,G ,FL060,SFC,-32.33583333333333,115.78777777777778,,
D104C,23,D104C JANDAKOT,G ,FL060,SFC,-32.33972222222222,115.78777777777778,,
D104C,24,D104C JANDAKOT,G ,FL060,SFC,-32.34388888888889,115.78666666666666,,
D104C,25,D104C JANDAKOT,G ,FL060,SFC,-32.34916666666667,115.78666666666666,,
D104C,26,D104C JANDAKOT,G ,FL060,SFC,-32.36222222222222,115.7825,,
D104C,27,D104C JANDAKOT,G ,FL060,SFC,-32.365833333333335,115.78111111111112,,
D104C,28,D104C JANDAKOT,G ,FL060,SFC,-32.37111111111111,115.77944444444444,,
D104C,29,D104C JANDAKOT,G ,FL060,SFC,-32.3775,115.77638888888889,,
D104C,30,D104C JANDAKOT,G ,FL060,SFC,-32.38333333333333,115.77472222222222,,
D104C,31,D104C JANDAKOT,G ,FL060,SFC,-32.39055555555556,115.77166666666666,,
D104C,32,D104C JANDAKOT,G ,FL060,SFC,-32.4,115.76944444444445,,
D104C,33,D104C JANDAKOT,G ,FL060,SFC,-32.40333333333333,115.77055555555556,,
D104C,34,D104C JANDAKOT,G ,FL060,SFC,-32.406388888888884,115.7725,,
D104C,35,D104C JANDAKOT,G ,FL060,SFC,-32.409444444444446,115.77305555555556,,
D104C,36,D104C JANDAKOT,G ,FL060,SFC,-32.415277777777774,115.77194444444444,,
D104C,37,D104C JANDAKOT,G ,FL060,SFC,-32.41888888888889,115.7725,,
D104C,38,D104C JANDAKOT,G ,FL060,SFC,-32.428888888888885,115.77222222222223,,
D104C,39,D104C JANDAKOT,G ,FL060,SFC,-32.431666666666665,115.7725,,
D104C,40,D104C JANDAKOT,G ,FL060,SFC,-32.4375,115.7675,,
D104C,41,D104C JANDAKOT,G ,FL060,SFC,-32.44277777777778,115.76388888888889,,
D104C,42,D104C JANDAKOT,G ,FL060,SFC,-32.46944444444445,115.75666666666666,,
D104C,43,D104C JANDAKOT,G ,FL060,SFC,-32.48166666666667,115.75527777777778,,
D104C,44,D104C JANDAKOT,G ,FL060,SFC,-32.49166666666667,115.7461111111111,,
D104C,45,D104C JANDAKOT,G ,FL060,SFC,-32.51694444444444,115.73416666666667,,
